report_id,timestamp,unit_id,reporter_role,location,age_band,channel,free_text,category_label,urgency_label,status
1,2025-11-21 03:42:02,NW-ACF-021,Cadet,Training Weekend,18+,In person,Cadet disclosed receiving unpleasant messages online and being added to group chats where inappropriate content is being shared. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.,Online safety,Critical,Open
2,2025-12-17 10:49:02,NW-ACF-041,Cadet,Annual Camp,Under 12,Other,Cadet has hinted at ongoing arguments and tension at home. They say the atmosphere is difficult and it is affecting their behaviour. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.,Home issues,Critical,Closed
3,2026-01-14 16:22:02,NW-ACF-032,Adult Volunteer,Field Exercise,Under 12,Other,"Cadet has raised a concern that does not fit neatly into another category, but staff feel it should be recorded and monitored. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Other,Low,Open
4,2026-01-28 18:54:02,NW-ACF-032,Adult Volunteer,Parade Night - Detachment,18+,Email,Cadet has hinted at ongoing arguments and tension at home. They say the atmosphere is difficult and it is affecting their behaviour. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.,Home issues,Critical,Closed
5,2025-12-17 22:31:02,NW-ACF-012,Adult Volunteer,Home,12-14,Other,"Cadet mentioned difficulties affording transport, uniform items and some optional activities, which may limit their ability to attend regularly. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.",Financial hardship,Critical,In progress
6,2026-01-14 15:03:02,NW-ACF-040,Cadet,Field Exercise,18+,Online form,Cadet has hinted at ongoing arguments and tension at home. They say the atmosphere is difficult and it is affecting their behaviour. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Home issues,High,Open
7,2025-11-21 02:36:02,NW-ACF-026,Adult Volunteer,Training Weekend,18+,Email,"Cadet has become withdrawn and low in mood. They have mentioned struggling to cope and finding it hard to join in with normal activities. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Mental health,Low,Open
8,2025-11-28 10:10:02,NW-ACF-047,Parent/Carer,Parade Night - Detachment,12-14,Email,"Cadet's attendance has dropped noticeably over recent weeks and they seem less engaged when they do attend. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Attendance / engagement,Low,Open
9,2026-02-03 04:34:02,NW-ACF-029,Other,Training Weekend,12-14,Other,Cadet has hinted at ongoing arguments and tension at home. They say the atmosphere is difficult and it is affecting their behaviour. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Home issues,High,Open
10,2025-12-25 18:54:02,NW-ACF-015,Cadet,Annual Camp,18+,Other,"Cadet has reported repeated unkind comments and exclusion from activities. They describe being targeted by a small group during recent events. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Bullying,Low,Closed
11,2026-01-05 15:40:02,NW-ACF-037,Cadet,Annual Camp,Under 12,Email,Cadet has become withdrawn and low in mood. They have mentioned struggling to cope and finding it hard to join in with normal activities. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Mental health,High,Closed
12,2026-02-09 21:24:02,NW-ACF-003,Cadet,Home,Under 12,In person,"Cadet has raised a concern that does not fit neatly into another category, but staff feel it should be recorded and monitored. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Other,Low,In progress
13,2025-12-15 04:49:02,NW-ACF-004,Cadet,Parade Night - Detachment,18+,Other,"Cadet has displayed changes in behaviour, including occasional outbursts and conflict with peers or staff. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.",Behaviour / conduct,High,Closed
14,2026-01-25 07:33:02,NW-ACF-037,Adult Volunteer,Parade Night - Detachment,15-17,Other,"Cadet mentioned difficulties affording transport, uniform items and some optional activities, which may limit their ability to attend regularly. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.",Financial hardship,Critical,In progress
15,2026-01-24 17:12:02,NW-ACF-001,Cadet,Field Exercise,18+,Phone call,"Cadet has reported repeated unkind comments and exclusion from activities. They describe being targeted by a small group during recent events. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Bullying,Low,Open
16,2026-01-19 21:22:02,NW-ACF-016,Cadet,Parade Night - Detachment,12-14,Online form,"Cadet has displayed changes in behaviour, including occasional outbursts and conflict with peers or staff. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.",Behaviour / conduct,High,Open
17,2026-02-08 07:46:02,NW-ACF-030,Cadet,Field Exercise,18+,Phone call,Cadet was observed with unexplained marks and appeared uncomfortable when asked. There are concerns about their physical safety outside of cadet activities. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Physical safety,High,Open
18,2026-01-13 20:30:02,NW-ACF-004,Adult Volunteer,Parade Night - Detachment,18+,Email,Cadet was observed with unexplained marks and appeared uncomfortable when asked. There are concerns about their physical safety outside of cadet activities. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.,Physical safety,Critical,Open
19,2025-11-30 22:46:02,NW-ACF-037,Other,Field Exercise,18+,In person,"Cadet mentioned difficulties affording transport, uniform items and some optional activities, which may limit their ability to attend regularly. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.",Financial hardship,Critical,Closed
20,2025-12-15 21:01:02,NW-ACF-027,Parent/Carer,Parade Night - Detachment,15-17,In person,Cadet has hinted at ongoing arguments and tension at home. They say the atmosphere is difficult and it is affecting their behaviour. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.,Home issues,Critical,Open
21,2026-01-25 04:26:02,NW-ACF-023,Cadet,Training Weekend,15-17,In person,"Cadet was observed with unexplained marks and appeared uncomfortable when asked. There are concerns about their physical safety outside of cadet activities. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Physical safety,Medium,Open
22,2025-12-13 23:11:02,NW-ACF-044,Other,Annual Camp,18+,Email,"Cadet has displayed changes in behaviour, including occasional outbursts and conflict with peers or staff. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Behaviour / conduct,Medium,In progress
23,2025-11-28 11:31:02,NW-ACF-045,Adult Volunteer,Home,18+,In person,"Cadet has become withdrawn and low in mood. They have mentioned struggling to cope and finding it hard to join in with normal activities. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Mental health,Medium,Open
24,2025-12-04 09:23:02,NW-ACF-049,Adult Volunteer,Annual Camp,15-17,Phone call,"Cadet was observed with unexplained marks and appeared uncomfortable when asked. There are concerns about their physical safety outside of cadet activities. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Physical safety,Medium,Open
25,2025-12-24 09:56:02,NW-ACF-008,Other,Parade Night - Detachment,Under 12,In person,"Cadet has displayed changes in behaviour, including occasional outbursts and conflict with peers or staff. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Behaviour / conduct,Low,In progress
26,2026-01-14 07:12:02,NW-ACF-009,Parent/Carer,Home,18+,Online form,"Cadet's attendance has dropped noticeably over recent weeks and they seem less engaged when they do attend. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Attendance / engagement,Low,In progress
27,2026-01-30 14:21:02,NW-ACF-010,Adult Volunteer,Field Exercise,Under 12,Online form,"Cadet has raised a concern that does not fit neatly into another category, but staff feel it should be recorded and monitored. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Other,Low,Closed
28,2026-01-15 19:12:02,NW-ACF-010,Other,Parade Night - Detachment,12-14,Online form,"Cadet mentioned difficulties affording transport, uniform items and some optional activities, which may limit their ability to attend regularly. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.",Financial hardship,Critical,In progress
29,2026-01-08 20:14:02,NW-ACF-048,Parent/Carer,Annual Camp,15-17,Email,"Cadet's attendance has dropped noticeably over recent weeks and they seem less engaged when they do attend. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Attendance / engagement,Medium,In progress
30,2025-12-09 18:21:02,NW-ACF-012,Adult Volunteer,Annual Camp,15-17,In person,Cadet has reported repeated unkind comments and exclusion from activities. They describe being targeted by a small group during recent events. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.,Bullying,Critical,Open
31,2026-01-17 03:57:02,NW-ACF-017,Cadet,Field Exercise,18+,Online form,Cadet disclosed receiving unpleasant messages online and being added to group chats where inappropriate content is being shared. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Online safety,High,In progress
32,2025-12-04 03:47:02,NW-ACF-035,Cadet,Parade Night - Detachment,18+,Phone call,Cadet has reported repeated unkind comments and exclusion from activities. They describe being targeted by a small group during recent events. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Bullying,High,In progress
33,2026-02-06 10:32:02,NW-ACF-047,Adult Volunteer,Training Weekend,15-17,Phone call,"Cadet has reported repeated unkind comments and exclusion from activities. They describe being targeted by a small group during recent events. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Bullying,Low,In progress
34,2026-02-14 22:56:02,NW-ACF-025,Parent/Carer,Home,12-14,Phone call,Cadet was observed with unexplained marks and appeared uncomfortable when asked. There are concerns about their physical safety outside of cadet activities. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.,Physical safety,Critical,Closed
35,2025-12-22 22:06:02,NW-ACF-037,Adult Volunteer,Home,Under 12,Online form,"Cadet has raised a concern that does not fit neatly into another category, but staff feel it should be recorded and monitored. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Other,Medium,Open
36,2025-12-20 06:43:02,NW-ACF-045,Adult Volunteer,Parade Night - Detachment,18+,Online form,"Cadet has displayed changes in behaviour, including occasional outbursts and conflict with peers or staff. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.",Behaviour / conduct,High,Open
37,2025-11-22 04:35:02,NW-ACF-030,Other,Training Weekend,15-17,In person,"Cadet has hinted at ongoing arguments and tension at home. They say the atmosphere is difficult and it is affecting their behaviour. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Home issues,Medium,In progress
38,2026-01-05 10:37:02,NW-ACF-048,Cadet,Parade Night - Detachment,12-14,Phone call,Cadet has become withdrawn and low in mood. They have mentioned struggling to cope and finding it hard to join in with normal activities. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.,Mental health,Critical,Open
39,2025-12-25 19:22:02,NW-ACF-049,Adult Volunteer,Field Exercise,Under 12,Phone call,"Cadet's attendance has dropped noticeably over recent weeks and they seem less engaged when they do attend. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Attendance / engagement,Medium,In progress
40,2026-02-11 16:34:02,NW-ACF-007,Other,Field Exercise,12-14,Online form,Cadet has hinted at ongoing arguments and tension at home. They say the atmosphere is difficult and it is affecting their behaviour. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.,Home issues,Critical,Closed
41,2025-11-19 01:52:02,NW-ACF-042,Other,Field Exercise,12-14,Phone call,"Cadet mentioned difficulties affording transport, uniform items and some optional activities, which may limit their ability to attend regularly. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.",Financial hardship,High,Open
42,2026-02-08 22:09:02,NW-ACF-047,Other,Annual Camp,12-14,Online form,"Cadet mentioned difficulties affording transport, uniform items and some optional activities, which may limit their ability to attend regularly. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.",Financial hardship,Critical,In progress
43,2025-12-06 12:41:02,NW-ACF-050,Other,Annual Camp,15-17,Phone call,Cadet has hinted at ongoing arguments and tension at home. They say the atmosphere is difficult and it is affecting their behaviour. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Home issues,High,Open
44,2025-12-12 02:13:02,NW-ACF-046,Adult Volunteer,Parade Night - Detachment,18+,Other,"Cadet mentioned difficulties affording transport, uniform items and some optional activities, which may limit their ability to attend regularly. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Financial hardship,Medium,Closed
45,2026-02-10 23:54:02,NW-ACF-035,Other,Training Weekend,12-14,Online form,Cadet has hinted at ongoing arguments and tension at home. They say the atmosphere is difficult and it is affecting their behaviour. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.,Home issues,Critical,Open
46,2026-01-17 10:26:02,NW-ACF-007,Other,Field Exercise,12-14,Other,Cadet was observed with unexplained marks and appeared uncomfortable when asked. There are concerns about their physical safety outside of cadet activities. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Physical safety,High,Closed
47,2026-01-19 03:00:02,NW-ACF-011,Cadet,Annual Camp,Under 12,Email,"Cadet has reported repeated unkind comments and exclusion from activities. They describe being targeted by a small group during recent events. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Bullying,Low,Open
48,2026-02-07 12:07:02,NW-ACF-036,Adult Volunteer,Training Weekend,18+,Phone call,Cadet's attendance has dropped noticeably over recent weeks and they seem less engaged when they do attend. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Attendance / engagement,High,In progress
49,2025-12-25 06:40:02,NW-ACF-023,Adult Volunteer,Field Exercise,15-17,Other,"Cadet's attendance has dropped noticeably over recent weeks and they seem less engaged when they do attend. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Attendance / engagement,Low,Open
50,2025-12-10 08:27:02,NW-ACF-016,Adult Volunteer,Home,12-14,In person,Cadet was observed with unexplained marks and appeared uncomfortable when asked. There are concerns about their physical safety outside of cadet activities. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.,Physical safety,Critical,In progress
51,2026-01-17 06:43:02,NW-ACF-002,Adult Volunteer,Home,12-14,Other,Cadet disclosed receiving unpleasant messages online and being added to group chats where inappropriate content is being shared. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Online safety,High,Open
52,2026-02-07 17:31:02,NW-ACF-041,Parent/Carer,Home,15-17,Phone call,"Cadet's attendance has dropped noticeably over recent weeks and they seem less engaged when they do attend. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Attendance / engagement,Medium,In progress
53,2025-12-14 02:19:02,NW-ACF-028,Adult Volunteer,Parade Night - Detachment,15-17,Phone call,"Cadet has displayed changes in behaviour, including occasional outbursts and conflict with peers or staff. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.",Behaviour / conduct,High,Closed
54,2025-12-23 00:45:02,NW-ACF-034,Cadet,Parade Night - Detachment,Under 12,In person,"Cadet's attendance has dropped noticeably over recent weeks and they seem less engaged when they do attend. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Attendance / engagement,Medium,Open
55,2025-12-29 21:35:02,NW-ACF-023,Adult Volunteer,Field Exercise,Under 12,Phone call,"Cadet mentioned difficulties affording transport, uniform items and some optional activities, which may limit their ability to attend regularly. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Financial hardship,Low,Closed
56,2025-12-09 18:54:02,NW-ACF-047,Adult Volunteer,Annual Camp,18+,In person,"Cadet mentioned difficulties affording transport, uniform items and some optional activities, which may limit their ability to attend regularly. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.",Financial hardship,High,Open
57,2026-01-24 08:58:02,NW-ACF-002,Other,Home,18+,Phone call,Cadet has reported repeated unkind comments and exclusion from activities. They describe being targeted by a small group during recent events. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.,Bullying,Critical,In progress
58,2025-12-16 11:32:02,NW-ACF-031,Adult Volunteer,Home,18+,In person,Cadet has become withdrawn and low in mood. They have mentioned struggling to cope and finding it hard to join in with normal activities. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Mental health,High,Open
59,2026-02-13 11:07:02,NW-ACF-005,Adult Volunteer,Training Weekend,12-14,Phone call,Cadet has reported repeated unkind comments and exclusion from activities. They describe being targeted by a small group during recent events. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.,Bullying,Critical,Closed
60,2026-01-31 11:02:02,NW-ACF-010,Adult Volunteer,Annual Camp,Under 12,In person,"Cadet's attendance has dropped noticeably over recent weeks and they seem less engaged when they do attend. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Attendance / engagement,Medium,Closed
61,2025-11-24 19:07:02,NW-ACF-042,Parent/Carer,Annual Camp,Under 12,Other,Cadet was observed with unexplained marks and appeared uncomfortable when asked. There are concerns about their physical safety outside of cadet activities. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Physical safety,High,In progress
62,2025-12-29 09:43:02,NW-ACF-008,Adult Volunteer,Annual Camp,18+,In person,Cadet has reported repeated unkind comments and exclusion from activities. They describe being targeted by a small group during recent events. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.,Bullying,Critical,Closed
