report_id,timestamp,unit_id,reporter_role,location,age_band,channel,free_text,category_label,urgency_label,status
116,2025-11-25 17:00:02,NW-ACF-043,Cadet,Parade Night - Detachment,Under 12,Email,"Cadet has raised a concern that does not fit neatly into another category, but staff feel it should be recorded and monitored. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Other,Low,Closed
52,2026-02-07 17:31:02,NW-ACF-041,Parent/Carer,Home,15-17,Phone call,"Cadet's attendance has dropped noticeably over recent weeks and they seem less engaged when they do attend. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Attendance / engagement,Medium,In progress
63,2025-11-23 13:53:02,NW-ACF-017,Cadet,Home,18+,Online form,"Cadet disclosed receiving unpleasant messages online and being added to group chats where inappropriate content is being shared. At present there is no indication of immediate risk, but the situation will be monitored and support signposting considered.",Online safety,Low,Open
113,2026-01-30 00:39:02,NW-ACF-006,Cadet,Training Weekend,15-17,Other,Cadet has hinted at ongoing arguments and tension at home. They say the atmosphere is difficult and it is affecting their behaviour. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.,Home issues,High,In progress
101,2026-01-24 04:50:02,NW-ACF-035,Cadet,Parade Night - Detachment,Under 12,Phone call,"Cadet mentioned difficulties affording transport, uniform items and some optional activities, which may limit their ability to attend regularly. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Financial hardship,Medium,Open
104,2025-12-09 06:13:02,NW-ACF-024,Cadet,Training Weekend,12-14,In person,Cadet has hinted at ongoing arguments and tension at home. They say the atmosphere is difficult and it is affecting their behaviour. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.,Home issues,Critical,Open
165,2026-01-16 08:54:02,NW-ACF-002,Parent/Carer,Training Weekend,15-17,Other,"Cadet has raised a concern that does not fit neatly into another category, but staff feel it should be recorded and monitored. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.",Other,Critical,Closed
109,2025-12-19 13:31:02,NW-ACF-044,Cadet,Home,15-17,In person,"Cadet has become withdrawn and low in mood. They have mentioned struggling to cope and finding it hard to join in with normal activities. The concern is impacting the cadet and requires timely follow-up, but there is no indication of immediate serious harm.",Mental health,Medium,Open
156,2026-01-19 16:08:02,NW-ACF-016,Adult Volunteer,Parade Night - Detachment,15-17,Phone call,"Cadet mentioned difficulties affording transport, uniform items and some optional activities, which may limit their ability to attend regularly. The concern suggests a significant safeguarding issue and the case requires prompt action and oversight from safeguarding leads.",Financial hardship,High,Closed
137,2025-12-11 05:42:02,NW-ACF-014,Adult Volunteer,Field Exercise,18+,Email,Cadet's attendance has dropped noticeably over recent weeks and they seem less engaged when they do attend. There are indicators of immediate or very serious risk. Safeguarding procedures should be followed urgently in line with policy.,Attendance / engagement,Critical,Closed
