report_id,timestamp,unit_id,reporter_role,location,age_band,channel,free_text,category_label,urgency_label,status
1,2026-01-17 17:52:08,NW-ACF-030,Cadet,Field Exercise,Under 12,Phone call,Cadet asked general questions about whether certain traditional practices on girls are allowed in this country and appeared worried. Further conversation with the cadet and parents/carers is needed to understand the situation and decide on next steps. The information has been logged on the safeguarding system and will be reviewed at the next supervision meeting.,FGM / harmful practices,Medium,Open
2,2025-12-19 00:49:08,NW-ACF-052,Parent/Carer,Training Weekend,Under 12,Online form,Cadet disclosed that a Cadet Force Adult Volunteer (CFAV) has made them feel uncomfortable with comments and unnecessary physical contact during activities. The concern appears low-level at this stage; staff will continue to observe and provide a safe space for the cadet to talk. Peers have quietly expressed concern about the cadet and asked staff to check whether they are okay.,Abuse by adult in organisation,Low,In progress
3,2026-01-22 22:33:08,NW-ACF-079,Other,Annual Camp,Under 12,Online form,Another cadet reported seeing a CFAV regularly isolate this cadet from the group and speak to them behind closed doors. The case will be escalated to the appropriate safeguarding officer and external agencies may need to be consulted.,Abuse by adult in organisation,High,Closed
4,2026-01-09 19:22:08,NW-ACF-002,Other,Field Exercise,15-17,In person,"Cadet attended with visible bruising and flinched when staff moved nearby, becoming distressed when asked about the injuries. The concern is having an impact on the cadet and requires timely follow-up in line with safeguarding procedures.",Physical safety,Medium,In progress
5,2025-10-31 18:26:08,NW-ACF-004,Other,Home,12-14,Online form,"Cadet has become increasingly argumentative with peers and staff, with incidents of raised voices and refusal to follow instructions. Further conversation with the cadet and parents/carers is needed to understand the situation and decide on next steps. The information has been logged on the safeguarding system and will be reviewed at the next supervision meeting.",Behaviour / conduct,Medium,Open
6,2025-10-06 17:59:08,NW-ACF-035,Other,Home,12-14,Email,Several peers have been excluding the cadet from group activities and making jokes at their expense. Further conversation with the cadet and parents/carers is needed to understand the situation and decide on next steps.,Bullying,Medium,In progress
7,2026-01-08 10:41:08,NW-ACF-024,Other,Home,12-14,Other,"Third-party information was received suggesting there may be welfare concerns for this cadet, but further clarification is needed. Staff have agreed to monitor the situation closely and to share information with the safeguarding lead for further review. Staff are considering whether any immediate practical support can be offered to reduce pressure on the cadet.",Other,Medium,Open
8,2025-08-26 19:05:08,NW-ACF-015,Parent/Carer,Field Exercise,18+,In person,"Cadet disclosed that messages in the detachment group chat have become hostile and targeted towards them. No urgent safeguarding action is required currently, though the information has been recorded and will be reviewed periodically.",Bullying,Low,In progress
9,2025-10-04 10:26:08,NW-ACF-039,Adult Volunteer (CFAV),Home,Under 12,In person,Cadet raised a concern that does not fit a specific category but left staff feeling that it should be recorded and monitored. Staff have agreed to monitor the situation closely and to share information with the safeguarding lead for further review.,Other,Medium,Open
10,2025-11-26 04:18:08,NW-ACF-084,Cadet,Online session,18+,Other,Another cadet reported seeing a CFAV regularly isolate this cadet from the group and speak to them behind closed doors. The information suggests a significant safeguarding concern and the case requires prompt discussion with the safeguarding lead.,Abuse by adult in organisation,High,Closed
11,2026-02-04 16:04:08,NW-ACF-069,Other,Field Exercise,18+,Other,Cadet reported that there have been changes in who is living at home and that they do not feel comfortable around one of the adults. Staff have agreed to monitor the situation closely and to share information with the safeguarding lead for further review.,Home issues,Medium,Open
12,2025-10-31 09:59:08,NW-ACF-080,Cadet,Training Weekend,18+,Other,Staff were told that the cadet has been missing from home overnight on several occasions and returns with unexplained money or items. Staff have agreed to monitor the situation closely and to share information with the safeguarding lead for further review.,Exploitation / trafficking,Medium,In progress
13,2025-09-30 23:40:08,NW-ACF-094,Cadet,Annual Camp,15-17,In person,Another cadet reported seeing a CFAV regularly isolate this cadet from the group and speak to them behind closed doors. The safeguarding lead must be informed immediately and emergency procedures may need to be initiated.,Abuse by adult in organisation,Critical,In progress
14,2025-11-26 14:53:08,NW-ACF-007,Other,Online session,18+,Online form,"Cadet mentioned being pushed or grabbed at home and appeared anxious about returning there after activities. Safeguarding procedures should be followed without delay, with a clear record of actions and decisions taken. Peers have quietly expressed concern about the cadet and asked staff to check whether they are okay.",Physical safety,High,Open
15,2025-11-13 03:23:08,NW-ACF-040,Parent/Carer,Annual Camp,Under 12,Phone call,Another cadet reported seeing a CFAV regularly isolate this cadet from the group and speak to them behind closed doors. The safeguarding lead must be informed immediately and emergency procedures may need to be initiated. The information has been logged on the safeguarding system and will be reviewed at the next supervision meeting.,Abuse by adult in organisation,Critical,Closed
16,2025-11-26 17:10:08,NW-ACF-038,Parent/Carer,Online session,12-14,Other,"There have been a number of low-level altercations involving the cadet, including pushing and verbal disputes. Staff have agreed to monitor the situation closely and to share information with the safeguarding lead for further review.",Behaviour / conduct,Medium,Closed
17,2025-08-24 07:06:08,NW-ACF-099,Parent/Carer,Home,15-17,In person,Cadet mentioned being pushed or grabbed at home and appeared anxious about returning there after activities. The safeguarding lead must be informed immediately and emergency procedures may need to be initiated. The information has been logged on the safeguarding system and will be reviewed at the next supervision meeting.,Physical safety,Critical,Closed
18,2026-01-22 07:35:08,NW-ACF-084,Adult Volunteer (CFAV),Training Weekend,Under 12,Phone call,"Cadet has spoken about feeling ‘numb’ and disconnected from friends and activities, and has stopped engaging in usual hobbies. No urgent safeguarding action is required currently, though the information has been recorded and will be reviewed periodically.",Mental health,Low,In progress
19,2025-11-27 03:41:08,NW-ACF-078,Parent/Carer,Training Weekend,12-14,Online form,Cadet asked general questions about whether certain traditional practices on girls are allowed in this country and appeared worried. The case will be escalated to the appropriate safeguarding officer and external agencies may need to be consulted. Peers have quietly expressed concern about the cadet and asked staff to check whether they are okay.,FGM / harmful practices,High,Open
20,2025-08-28 12:35:08,NW-ACF-021,Parent/Carer,Annual Camp,Under 12,Email,"During a general discussion, cadet disclosed a situation that may indicate vulnerability, though details are not yet clear. The safeguarding lead must be informed immediately and emergency procedures may need to be initiated. Peers have quietly expressed concern about the cadet and asked staff to check whether they are okay.",Other,Critical,Open
21,2025-10-16 10:52:08,NW-ACF-097,Adult Volunteer (CFAV),Online session,15-17,In person,"Cadet has spoken about feeling ‘numb’ and disconnected from friends and activities, and has stopped engaging in usual hobbies. The case will be escalated to the appropriate safeguarding officer and external agencies may need to be consulted. Staff are considering whether any immediate practical support can be offered to reduce pressure on the cadet.",Mental health,High,In progress
22,2025-11-30 00:21:08,NW-ACF-031,Cadet,Annual Camp,Under 12,Online form,Cadet disclosed that an older individual outside the organisation regularly collects them late at night and provides gifts in exchange for ‘favours’. The case will be escalated to the appropriate safeguarding officer and external agencies may need to be consulted.,Exploitation / trafficking,High,In progress
23,2025-12-02 05:53:08,NW-ACF-086,Other,Annual Camp,12-14,In person,Cadet raised a concern that does not fit a specific category but left staff feeling that it should be recorded and monitored. The safeguarding lead must be informed immediately and emergency procedures may need to be initiated. Staff are considering whether any immediate practical support can be offered to reduce pressure on the cadet.,Other,Critical,In progress
