report_id,timestamp,unit_id,reporter_role,location,age_band,channel,free_text,category_label,urgency_label,status
391,2026-01-31 00:11:08,NW-ACF-078,Adult Volunteer (CFAV),Training Weekend,Under 12,In person,Cadet mentioned being pushed or grabbed at home and appeared anxious about returning there after activities. Staff have agreed to monitor the situation closely and to share information with the safeguarding lead for further review. Peers have quietly expressed concern about the cadet and asked staff to check whether they are okay.,Physical safety,Medium,Closed
917,2026-01-15 08:34:08,NW-ACF-062,Cadet,Online session,12-14,Other,"Cadet hinted that they are being pressured to go to addresses with people they do not know well and feel unable to say no. Safeguarding procedures should be followed without delay, with a clear record of actions and decisions taken. The information has been logged on the safeguarding system and will be reviewed at the next supervision meeting.",Exploitation / trafficking,High,In progress
975,2025-10-15 15:34:08,NW-ACF-032,Cadet,Home,15-17,Phone call,Cadet mentioned being in private online forums where extremist views are discussed and has repeated some of these views at parade. The concern appears low-level at this stage; staff will continue to observe and provide a safe space for the cadet to talk. Staff are considering whether any immediate practical support can be offered to reduce pressure on the cadet.,Radicalisation / extremism,Low,In progress
156,2025-12-14 05:10:08,NW-ACF-016,Parent/Carer,Annual Camp,Under 12,Email,Another cadet reported that this cadet has spoken about wanting to travel to conflict zones and ‘fight for a cause’. There are indicators of immediate or very serious risk and urgent safeguarding action is required in line with policy. Peers have quietly expressed concern about the cadet and asked staff to check whether they are okay.,Radicalisation / extremism,Critical,In progress
714,2025-08-31 16:19:08,NW-ACF-068,Other,Parade Night - Detachment,15-17,Online form,"Third-party information was received suggesting there may be welfare concerns for this cadet, but further clarification is needed. No urgent safeguarding action is required currently, though the information has been recorded and will be reviewed periodically.",Other,Low,Closed
817,2025-12-21 15:04:08,NW-ACF-099,Other,Parade Night - Detachment,15-17,In person,"Cadet reported being added to group chats where explicit or disturbing content is shared, and feels pressured to remain in them. No urgent safeguarding action is required currently, though the information has been recorded and will be reviewed periodically.",Online safety,Low,In progress
593,2025-10-23 12:04:08,NW-ACF-039,Cadet,Home,12-14,Phone call,Cadet disclosed that relatives have spoken about a ‘special procedure’ to be carried out when they visit family abroad and appeared very anxious about this. There are indicators of immediate or very serious risk and urgent safeguarding action is required in line with policy.,FGM / harmful practices,Critical,Closed
288,2025-08-20 06:52:08,NW-ACF-007,Parent/Carer,Parade Night - Detachment,Under 12,Online form,Cadet mentioned being in private online forums where extremist views are discussed and has repeated some of these views at parade. The safeguarding lead must be informed immediately and emergency procedures may need to be initiated.,Radicalisation / extremism,Critical,Closed
594,2026-02-04 09:03:08,NW-ACF-065,Cadet,Home,12-14,Other,"Cadet has appeared increasingly withdrawn and low in mood over several weeks, participating less in activities they previously enjoyed. No urgent safeguarding action is required currently, though the information has been recorded and will be reviewed periodically. Peers have quietly expressed concern about the cadet and asked staff to check whether they are okay.",Mental health,Low,In progress
760,2026-02-07 11:15:08,NW-ACF-073,Adult Volunteer (CFAV),Home,12-14,Other,Cadet described feeling constantly stressed and overwhelmed and said they are finding it hard to cope with day-to-day tasks. Staff have agreed to monitor the situation closely and to share information with the safeguarding lead for further review. The information has been logged on the safeguarding system and will be reviewed at the next supervision meeting.,Mental health,Medium,Open
