example_id,free_text,intended_urgency,notes
MAN1,"Cadet has seemed quieter than usual over the last few weeks and is avoiding some of their friends. They are still turning up regularly and taking part in activities, but a parent mentioned they seem a bit withdrawn at home and are spending more time alone in their room.",Medium,Mild to moderate concern about wellbeing; needs follow-up but no clear immediate risk
MAN2,"Cadet became very upset during a break and told a friend they “sometimes wish they wouldn’t wake up in the morning”. They denied having a plan to hurt themselves and said they wouldn’t actually do anything, but they have been missing homework and seem exhausted most evenings.",Critical,Expressed suicidal thoughts without a clear plan; significant concern requiring prompt safeguarding response
MAN3,"Cadet has been a bit teary at annual camp and says they are missing home. They are still joining in with activities, eating and sleeping reasonably, and staff have been able to comfort and distract them when they get upset.",Low,"Low-level homesickness; needs monitoring and reassurance, but no clear safeguarding risk at present."
MAN4,Several cadets report that one young person is being left out of group chats and a separate chat has been set up where others post unkind comments and share unflattering photos of them. The targeted cadet has been quieter on parade nights but is still attending.,Medium,Ongoing online bullying; emotional impact is a concern and requires timely follow-up with unit and parents.
MAN5,"Cadet arrived with bruises on their upper arms and back. When asked, they gave a vague explanation about “bumping into a door” and became very anxious and tearful, saying they did not want anyone to speak to their parents about it.",High,Unexplained or poorly explained injuries combined with fear of parental contact; requires prompt safeguarding action.
MAN6,"Cadet reports receiving repeated direct messages from an unknown adult account on social media, asking for personal details and to “meet up away from cadets”. The messages have become more persistent and the cadet says they feel scared.",Critical,Possible grooming by an unknown adult; immediate safeguarding action and liaison with police/online safety channels required.
MAN7,"During uniform inspection a CFAV notices several healed scratches and fresh cuts on a cadet’s forearms. The cadet laughs it off as “just stress stuff” and says they sometimes hurt themselves when things get too much, but denies wanting to die.",High,Evidence of self-harm; significant mental health concern needing urgent support and safety planning.
MAN8,"Parent quietly mentions that money is very tight at home and the cadet has been skipping some meals so that younger siblings can eat. Cadet has recently stopped attending weekend activities, saying they “don’t want to be a burden”.",Medium,Financial hardship affecting basic needs and participation; requires welfare support and signposting.
MAN9,Cadet who previously attended regularly has started missing parade nights over the last month. Peers mention they have started hanging around with an older crowd who drink and stay out late. The cadet appears more tired and irritable when they do attend.,Medium,Emerging risk around new peer group and possible substance use; needs further exploration and support.
MAN10,"Cadet has been involved in a couple of arguments and minor scuffles with peers on parade. They are quick to apologise afterwards and there is no indication of wider risk at home or online, but the pattern is becoming more frequent.",Medium,Behaviour and conduct concern within the unit; requires behaviour support and monitoring.
MAN11,"Multiple cadets report that a CFAV regularly shouts at one particular cadet, calls them “useless” in front of others and criticises their appearance. The cadet appears anxious around that adult and has talked about wanting to quit.",High,CFAV emotional abuse and humiliation; significant concern about adult conduct and impact on cadet.
MAN12,"A cadet shows a friend late-night WhatsApp messages from a CFAV sent to them individually, commenting on how “mature” they look, offering to chat about personal problems any time, and asking them not to tell anyone about the messages.",Critical,Inappropriate one-to-one contact from CFAV with secrecy; serious concern about boundary violation and potential grooming.
